country,longitude,latitude,vnorm_x,vnorm_y
Belize,-89.2328125,15.888671875,-0.08194998378082703,0.12900328656998586
Belize,-89.2375,15.894433593749994,-0.08194998378082703,0.12900328656998586
Belize,-89.162353515625,17.90195312499999,-0.08194998378082703,0.12900328656998586
Belize,-89.133544921875,17.97080078124999,-0.08194998378082703,0.12900328656998586
Belize,-88.52299804687499,18.44589843749999,-0.08194998378082703,0.12900328656998586
Belize,-88.46127929687499,18.476757812499997,-0.08194998378082703,0.12900328656998586
Belize,-88.37241210937499,18.482324218749994,-0.08194998378082703,0.12900328656998586
Belize,-88.295654296875,18.472412109375,-0.08194998378082703,0.12900328656998586
Belize,-87.85893554687499,18.154052734375,-0.08194998378082703,0.12900328656998586
Belize,-87.84853515625,18.140380859375,-0.08194998378082703,0.12900328656998586
Belize,-87.78862304687499,17.524218750000003,-0.08194998378082703,0.12900328656998586
Belize,-87.79814453124999,17.47958984374999,-0.08194998378082703,0.12900328656998586
Belize,-88.313427734375,16.632763671874997,-0.08194998378082703,0.12900328656998586
Belize,-88.404541015625,16.48862304687499,-0.08194998378082703,0.12900328656998586
Belize,-88.56230468749999,16.290429687499994,-0.08194998378082703,0.12900328656998586
Belize,-88.89404296875,15.890625,-0.08194998378082703,0.12900328656998586
Belize,-88.937158203125,15.889843749999997,-0.08194998378082703,0.12900328656998586
Belize,-89.2328125,15.888671875,-0.08194998378082703,0.12900328656998586
Guatemala,-91.14604492187499,13.925585937500003,-0.14806658646460763,0.11020516780899062
Guatemala,-91.37734375,13.990185546874997,-0.14806658646460763,0.11020516780899062
Guatemala,-91.64091796874999,14.114941406249997,-0.14806658646460763,0.11020516780899062
Guatemala,-91.819091796875,14.228222656249997,-0.14806658646460763,0.11020516780899062
Guatemala,-92.23515624999999,14.54541015625,-0.14806658646460763,0.11020516780899062
Guatemala,-92.204248046875,15.274999999999991,-0.14806658646460763,0.11020516780899062
Guatemala,-92.187158203125,15.320898437499991,-0.14806658646460763,0.11020516780899062
Guatemala,-91.409619140625,17.255859375,-0.14806658646460763,0.11020516780899062
Guatemala,-90.98916015625,17.81640625,-0.14806658646460763,0.11020516780899062
Guatemala,-90.622021484375,17.816113281249997,-0.14806658646460763,0.11020516780899062
Guatemala,-89.16561410303136,17.814847348115634,-0.14806658646460763,0.11020516780899062
Guatemala,-89.2375,15.894433593749994,-0.14806658646460763,0.11020516780899062
Guatemala,-89.2328125,15.888671875,-0.14806658646460763,0.11020516780899062
Guatemala,-88.937158203125,15.889843749999997,-0.14806658646460763,0.11020516780899062
Guatemala,-88.89404296875,15.890625,-0.14806658646460763,0.11020516780899062
Guatemala,-88.56230468749999,16.290429687499994,-0.14806658646460763,0.11020516780899062
Guatemala,-88.50928624620926,16.35703502739449,-0.14806658646460763,0.11020516780899062
Guatemala,-88.22832031249999,15.72900390625,-0.14806658646460763,0.11020516780899062
Guatemala,-89.17177734375,14.606884765624997,-0.14806658646460763,0.11020516780899062
Guatemala,-89.36259765624999,14.416015625,-0.14806658646460763,0.11020516780899062
Guatemala,-89.54716796874999,14.241259765625003,-0.14806658646460763,0.11020516780899062
Guatemala,-90.09521484375,13.736523437499997,-0.14806658646460763,0.11020516780899062
Guatemala,-91.14604492187499,13.925585937500003,-0.14806658646460763,0.11020516780899062
Honduras,-89.36259765624999,14.416015625,0.13053298061975924,0.8994061861306988
Honduras,-89.17177734375,14.606884765624997,0.13053298061975924,0.8994061861306988
Honduras,-88.22832031249999,15.72900390625,0.13053298061975924,0.8994061861306988
Honduras,-87.874951171875,15.879345703124997,0.13053298061975924,0.8994061861306988
Honduras,-86.43828124999999,16.413867187500003,0.13053298061975924,0.8994061861306988
Honduras,-86.337841796875,16.439208984375,0.13053298061975924,0.8994061861306988
Honduras,-85.87822265624999,16.513964843750003,0.13053298061975924,0.8994061861306988
Honduras,-85.83378906249999,16.510888671874994,0.13053298061975924,0.8994061861306988
Honduras,-84.26142578125,15.822607421874991,0.13053298061975924,0.8994061861306988
Honduras,-83.36918945312499,15.239990234375,0.13053298061975924,0.8994061861306988
Honduras,-83.15751953124999,14.993066406249994,0.13053298061975924,0.8994061861306988
Honduras,-87.00932617187499,13.0078125,0.13053298061975924,0.8994061861306988
Honduras,-87.05917968749999,12.991455078125,0.13053298061975924,0.8994061861306988
Honduras,-87.33725585937499,12.979248046875,0.13053298061975924,0.8994061861306988
Honduras,-89.36259765624999,14.416015625,0.13053298061975924,0.8994061861306988
El Salvador,-88.51201171874999,13.183935546874991,0.15589166137584773,-0.16807979931612863
El Salvador,-88.86704101562499,13.283251953125003,0.15589166137584773,-0.16807979931612863
El Salvador,-89.80419921875,13.560107421875003,0.15589166137584773,-0.16807979931612863
El Salvador,-90.09521484375,13.736523437499997,0.15589166137584773,-0.16807979931612863
El Salvador,-89.54716796874999,14.241259765625003,0.15589166137584773,-0.16807979931612863
El Salvador,-89.36259765624999,14.416015625,0.15589166137584773,-0.16807979931612863
El Salvador,-87.80695858802233,13.312452868361722,0.15589166137584773,-0.16807979931612863
El Salvador,-87.820703125,13.28515625,0.15589166137584773,-0.16807979931612863
El Salvador,-87.878076171875,13.224414062500003,0.15589166137584773,-0.16807979931612863
El Salvador,-87.930859375,13.1806640625,0.15589166137584773,-0.16807979931612863
El Salvador,-88.0234375,13.168749999999989,0.15589166137584773,-0.16807979931612863
El Salvador,-88.1806640625,13.164013671874997,0.15589166137584773,-0.16807979931612863
El Salvador,-88.51201171874999,13.183935546874991,0.15589166137584773,-0.16807979931612863
Nicaragua,-85.7443359375,11.062109374999991,0.28884971481794913,-0.32007999586366936
Nicaragua,-86.468896484375,11.73828125,0.28884971481794913,-0.32007999586366936
Nicaragua,-87.66752929687499,12.903564453125,0.28884971481794913,-0.32007999586366936
Nicaragua,-87.670166015625,12.965673828124991,0.28884971481794913,-0.32007999586366936
Nicaragua,-87.58505859374999,13.043310546874991,0.28884971481794913,-0.32007999586366936
Nicaragua,-87.51344777576558,13.104237731770812,0.28884971481794913,-0.32007999586366936
Nicaragua,-87.33725585937499,12.979248046875,0.28884971481794913,-0.32007999586366936
Nicaragua,-87.05917968749999,12.991455078125,0.28884971481794913,-0.32007999586366936
Nicaragua,-87.00932617187499,13.0078125,0.28884971481794913,-0.32007999586366936
Nicaragua,-83.15751953124999,14.993066406249994,0.28884971481794913,-0.32007999586366936
Nicaragua,-83.187744140625,14.340087890625,0.28884971481794913,-0.32007999586366936
Nicaragua,-83.6419921875,10.917236328125,0.28884971481794913,-0.32007999586366936
Nicaragua,-83.658935546875,10.836865234374997,0.28884971481794913,-0.32007999586366936
Nicaragua,-83.71293945312499,10.785888671875,0.28884971481794913,-0.32007999586366936
Nicaragua,-83.811181640625,10.743261718749991,0.28884971481794913,-0.32007999586366936
Nicaragua,-83.91928710937499,10.7353515625,0.28884971481794913,-0.32007999586366936
Nicaragua,-85.7443359375,11.062109374999991,0.28884971481794913,-0.32007999586366936
Costa Rica,-83.54374999999999,8.445849609374989,-0.2644467219357716,-0.2854970285866925
Costa Rica,-83.604736328125,8.480322265624991,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.62485351562499,9.902441406249991,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.68100585937499,9.958593749999991,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.79648437499999,10.132861328124989,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.84965820312499,10.292041015624989,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.90800781249999,10.897558593749991,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.88740234375,10.921289062499994,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.74488176197254,11.06261874741698,-0.2644467219357716,-0.2854970285866925
Costa Rica,-85.7443359375,11.062109374999991,-0.2644467219357716,-0.2854970285866925
Costa Rica,-83.91928710937499,10.7353515625,-0.2644467219357716,-0.2854970285866925
Costa Rica,-83.811181640625,10.743261718749991,-0.2644467219357716,-0.2854970285866925
Costa Rica,-83.71293945312499,10.785888671875,-0.2644467219357716,-0.2854970285866925
Costa Rica,-83.658935546875,10.836865234374997,-0.2644467219357716,-0.2854970285866925
Costa Rica,-83.6419921875,10.917236328125,-0.2644467219357716,-0.2854970285866925
Costa Rica,-82.56357421874999,9.57666015625,-0.2644467219357716,-0.2854970285866925
Costa Rica,-82.879345703125,8.070654296874991,-0.2644467219357716,-0.2854970285866925
Costa Rica,-83.54374999999999,8.445849609374989,-0.2644467219357716,-0.2854970285866925
Panama,-81.65810546875,7.327539062499994,0.12269344983175201,-0.024453375957526016
Panama,-81.77011718749999,7.370361328125,0.12269344983175201,-0.024453375957526016
Panama,-82.879345703125,8.070654296874991,0.12269344983175201,-0.024453375957526016
Panama,-82.56357421874999,9.57666015625,0.12269344983175201,-0.024453375957526016
Panama,-82.57609070407159,9.592219338741367,0.12269344983175201,-0.024453375957526016
Panama,-79.577294921875,9.597851562499997,0.12269344983175201,-0.024453375957526016
Panama,-79.35546875,9.569238281249994,0.12269344983175201,-0.024453375957526016
Panama,-79.112255859375,9.536767578124994,0.12269344983175201,-0.024453375957526016
Panama,-78.504345703125,9.406298828124989,0.12269344983175201,-0.024453375957526016
Panama,-78.082763671875,9.236279296874997,0.12269344983175201,-0.024453375957526016
Panama,-77.830810546875,9.068115234375,0.12269344983175201,-0.024453375957526016
Panama,-77.37421875,8.658300781249991,0.12269344983175201,-0.024453375957526016
Panama,-77.19599609375,7.972460937499989,0.12269344983175201,-0.024453375957526016
Panama,-77.215966796875,7.932519531249994,0.12269344983175201,-0.024453375957526016
Panama,-77.35078125,7.705859374999989,0.12269344983175201,-0.024453375957526016
Panama,-77.90117187499999,7.2293457031249915,0.12269344983175201,-0.024453375957526016
Panama,-80.84555664062499,7.2200683593749915,0.12269344983175201,-0.024453375957526016
Panama,-81.65810546875,7.327539062499994,0.12269344983175201,-0.024453375957526016
